Nom API,ID Datapass,ID API,Public Cible,Eligible,phrase,CTA,Texte du CTA,Notes
API Transparence-Santé (Déclarations Entreprises),,106190048962820938736984480930225626708,collectivité ou administration,Non,"En tant qu'administration ou collectivité territoriale, vous n'êtes pas éligible. L'API est réservée aux entreprises.",,,
API Smart Verify,,113627769708139787913251526853307366634,particulier,Non,Vous n’êtes pas autorisé à accéder à cette API.,,,
API Smart Verify,,113627769708139787913251526853307366634,entreprise ou association,Oui,L’API est accessible gratuitement en accès restreint.,,,
API Smart Verify,,113627769708139787913251526853307366634,collectivité ou administration,Oui,L’API est accessible gratuitement en accès restreint.,,,
API Marché du travail,,249900176916182167208769632010465480078,,Pas d'arbre de décision,,,,
API Informations sur l'emploi dans un territoire,,51079163781402370615831402349982666960,,Pas d'arbre de décision,,,,
API Sortants de formation et accès à l'emploi,,147500406526130716873583604353287453344,,Pas d'arbre de décision,,,,
API Base nationale des défibrillateurs,,187154495419132797723225364528708455583,particulier,Oui,"Vous pouvez accéder à la liste des défibrillateurs directement sur data.gouv.fr. Si vous souhaitez accéder à l'API, vous devez faire une",,,
API Base nationale des défibrillateurs,,187154495419132797723225364528708455583,entreprise ou association,Oui,Cette API permet d'interroger et d'alimenter la base nationale des défibrillateurs.,,,
API Base nationale des défibrillateurs,,187154495419132797723225364528708455583,collectivité ou administration,Oui,Cette API permet d'interroger et d'alimenter la base nationale des défibrillateurs.,,,
API CaptchEtat,api-captchetat,38584335088390227153318963344779636828,particulier,Non,Vous n’êtes pas autorisé à accéder à cette API. L'API est réservée aux administrations.,,,
API CaptchEtat,api-captchetat,38584335088390227153318963344779636828,entreprise ou association,Non,Vous n’êtes pas autorisé à accéder à cette API. L'API est réservée aux administrations.,,,
API CaptchEtat,api-captchetat,38584335088390227153318963344779636828,collectivité ou administration,Oui,,,,
API Accès à l'emploi,,161454008677510463971197956648995081010,,Pas d'arbre de décision,,,,
le.taxi,le-taxi,213536914625656058268275180933234907255,particulier,Non,❌ Vous n’êtes pas autorisé à accéder à cette API. Seuls les opérateurs de taxi ou éditeurs d’application peuvent demander un accès à l’API.,,,
le.taxi,le-taxi,213536914625656058268275180933234907255,entreprise ou association,Peut-être,"❌ <b>Si vous êtes un artisan taxi</b>, vous n'êtes pas éligible car vous devez utiliser un applicatif chauffeur ou un logiciel connecté.

✅ <b>Si vous êtes un groupement de taxi, une application de mobilité, un acteur de mobilité publique, vous êtes éligible !</b>

Vous pouvez remplir une demande d’habilitation à l’API le.taxi dans le cadre des articles <a href =""https://www.legifrance.gouv.fr/affichCodeArticle.do?idArticle=LEGIARTI000029528684&cidTexte=LEGITEXT000023086525"">L. 3121-11-1</a> et <a href=""https://www.legifrance.gouv.fr/affichCode.do?idSectionTA=LEGISCTA000032278146&cidTexte=LEGITEXT000023086525"">R3121-24 à R3121-33</a> du Code des transports.

<b>Si vous êtes éditeur de logiciel pour les flottes de taxe, prenez contact avec nous directement</b>. Les éditeurs logiciels qui équipent les flottes de taxis ont un statut spécifique sur notre API (manager de flotte).

Écrivez-nous à equipe@le.taxi en nous présentant votre structure et nous reviendrons très rapidement vers vous. ",,,
le.taxi,le-taxi,213536914625656058268275180933234907255,collectivité ou administration,Non,❌ Vous n’êtes pas autorisé à accéder à cette API. Seuls les opérateurs de taxi ou éditeurs d’application peuvent demander un accès à l’API.,,,
API Bulletin officiel des annonces des marchés publics (BOAMP),,127360128830380707604044265513446695435,,Pas d'arbre de décision,,,,
API Look4 Géoportail,,106431679498596450066429576467258631173,,Pas d'arbre de décision,,,,
Offres d'emploi,,327916456901529968201418271130634422761,,Pas d'arbre de décision,,,,
API Bulletin des Annonces Légales Obligatoires (BALO),,330847407903069082934791906169297121894,,Pas d'arbre de décision,,,,
API Bulletin officiel des annonces civiles et commerciales (BODACC),,234578266116127563189479517920178363376,,Pas d'arbre de décision,,,,
API Annuaire de l’administration et des services publics,,225520477917896328793904998977729235174,,Pas d'arbre de décision,,,,
API Annonces officielles et comptes annuels des associations,,38626773611867938582110392739514510742,,Pas d'arbre de décision,,,,
API Sudocuh - Résultats des enquêtes d'urbanisme,,101761905730026283816146664003654008396,,Pas d'arbre de décision,,,,
API Répertoire opérationnel des métiers et des emplois (ROME 4.0),,297850505189916321318009606161044674113,,Pas d'arbre de décision,,,,
API Mir@bel (revues),,126130684170405505926157474774807419041,,Pas d'arbre de décision,,,,
API Mes Aides Reno,,246051464131670615833297218806559664811,,Pas d'arbre de décision,,,,
API Ma Sécurité,,164899084280016916872856129317041420226,particulier,Non,Vous n’êtes pas autorisé à accéder à cette API.,,,
API Ma Sécurité,,164899084280016916872856129317041420226,entreprise ou association,Non,Vous n’êtes pas autorisé à accéder à cette API.,,,
API Ma Sécurité,,164899084280016916872856129317041420226,collectivité ou administration,Oui,L’API est accessible gratuitement en accès restreint. Une signature de convention avec la gendarmerie nationale constitue un préalable à la génération de la clé d’API. L’intention est de permettre aux partenaires de la gendarmerie nationale de diffuser facilement les informations susceptibles d’intéresser leur client.,,,
,,,particulier,Non,Vous n’êtes pas autorisé à accéder à cette API. L’usage de l’API ma-cantine est réservée aux gestionnaires de cantines pour qu'il puissent gérer leurs établissements et effectuer les démarches de suivi d'achats alimentaires. ,,,
,,,entreprise ou association,Peut-être,"Si vous êtes un gestionnaire de cantine, vous pouvez utiliser cette API pour interfacer votre logiciel avec la plateforme ma-cantine. 

Plus d'information sur l'API avec notre plateforme de démo pour les tests :  https://ma-cantine-demo.cleverapps.io/developpement-et-apis/",,,
,,,collectivité ou administration,Peut-être,"Si vous êtes un gestionnaire de cantine, vous pouvez utiliser cette API pour interfacer votre logiciel avec la plateforme ma-cantine. 

Plus d'information sur l'API avec notre plateforme de démo pour les tests :  https://ma-cantine-demo.cleverapps.io/developpement-et-apis/",,,
API Interroger les Données de theses.fr,,87258741558809575008498945681541700025,,Pas d'arbre de décision,,,,
API IMPRIM'FIP,api-imprimfip-sandbox,43944763502142237671053083684561151963,particulier,Non,Vous n’êtes pas autorisé à accéder à cette API.,,,
API IMPRIM'FIP,api-imprimfip-sandbox,43944763502142237671053083684561151963,entreprise ou association,Non,Vous n’êtes pas autorisé à accéder à cette API.,,,
API IMPRIM'FIP,api-imprimfip-sandbox,43944763502142237671053083684561151963,collectivité ou administration,Peut-être,"L'API IMPRIM’FIP permet le dépôt de fichiers (mono documents ou multi plis avec ou sans annexes) et le suivi de leur traitement. L'utilisation de l'API IMPRIM’FIP nécessite la réalisation de tests éditiques préalables avec l'équipe dédiée au sein de la DGFiP afin de vérifier l'éligibilité des courriers à la solution. Dans le cadre de votre demande d'habilitation, vous serez recontacté à cet effet.",,,
API Gels des avoirs,,154771893354764708353362141874152828357,,Pas d'arbre de décision,,,,
API Fonds Vert,,194390685873859790645710420364896487350,,Pas d'arbre de décision,,,,
API Export des Données de theses.fr,,61146150213419202504652007193775508725,,Pas d'arbre de décision,,,,
API Evénements France Travail,,16289508300205393375058627612333990393,,Pas d'arbre de décision,,,,
API Données ouvertes d'Enedis,,98600862494563182956071438970867823635,,Pas d'arbre de décision,,,,
API Données locales de consommation d'énergie,,314884023606738237922667159542677833039,,Pas d'arbre de décision,,,,
API Diffusion des Fichiers de Thèses sur theses.fr,,95303253530109995673834998434535261839,,Pas d'arbre de décision,,,,
API Data ES,,188383173732179980164774700184564242132,,Pas d'arbre de décision,,,,
Hub'Eau - Hydrométrie,,152529271807194548122640707936583859339,,Pas d'arbre de décision,,,,
API de droits à l'Assurance Maladie,api-droits-cnam,55768708073125474035269741221935553168,particulier,Non,Vous n’êtes pas autorisé à accéder à cette API. Seuls les établissements de soins et les organismes complémentaires en santé peuvent accéder à cette API.,,,
API de droits à l'Assurance Maladie,api-droits-cnam,55768708073125474035269741221935553168,entreprise ou association,Peut-être,"Cette API est actuellement réservée aux établissements de soins pour leur démarche de pré admission et aux organismes complémentaires en santé pour faciliter leur démarche d’adhésion.

Cette API fonctionne uniquement avec FranceConnect; vous devez remplir les critères d'eligbilité de FranceConnect.

L’utilisation de l’API est soumise à une convention d’usage avec la Caisse Nationale d’Assurance Maladie. Les données accessibles dépendent également du cas d’usage.

La Caisse Nationale se réserve le droit d’évaluer l’éligibilité des candidats au regard des cas d’usage indiqués.",,,
API de droits à l'Assurance Maladie,api-droits-cnam,55768708073125474035269741221935553168,collectivité ou administration,Peut-être,"Cette API est actuellement réservée aux établissements de soins pour leur démarche de pré admission et aux organismes complémentaires en santé pour faciliter leur démarche d’adhésion.

Cette API fonctionne uniquement avec FranceConnect; vous devez remplir les critères d'eligbilité de FranceConnect.

L’utilisation de l’API est soumise à une convention d’usage avec la Caisse Nationale d’Assurance Maladie. Les données accessibles dépendent également du cas d’usage.

La Caisse Nationale se réserve le droit d’évaluer l’éligibilité des candidats au regard des cas d’usage indiqués.",,,
Hub'Eau - Etat piscicole des rivières,,76255764032467999061580381704625573159,,Pas d'arbre de décision,,,,
Hub'Eau - Qualité des cours d'eau,,265110377259042436824653967056756666538,,Pas d'arbre de décision,,,,
API Système Universitaire de Documentation (Sudoc),,26759058280180054882438789469241531685,,Pas d'arbre de décision,,,,
API Identifiants et Référentiels pour l'enseignement supérieur et la recherche (IdRef),,236883205165865080665890104555966747142,,Pas d'arbre de décision,,,,
API Démarches du Ministère de la culture,,13853302860310915204788078939417976011,,Pas d'arbre de décision,,,,
API Anotéa,,113533561912845088487195641356880336311,,Pas d'arbre de décision,,,,
API Référentiel des agences France Travail,,21629255374187740405653125264905269519,,Pas d'arbre de décision,,,,
Hub'Eau - Indicateurs Eau potable et Assainissement,,221104576233246166314329394800540390560,,Pas d'arbre de décision,,,,
Hub'Eau - Qualité des nappes d'eau souterraine,,154606021684711638023382495403446968880,,Pas d'arbre de décision,,,,
Hub'Eau - Piézométrie,,126433868501024819249887176217762823687,,Pas d'arbre de décision,,,,
API Indicateur de Fréquences de Traitements phytopharmaceutiques,,46400548007826947508549212675764536384,,Pas d'arbre de décision,,,,
API travaux Rennes Métropole,,7728380968596636189439772250975593527,,Pas d'arbre de décision,,,,
API RVA Rennes Métropole,,207549068691785732301327006638784631694,,Pas d'arbre de décision,,,,
API Référentiel SANDRE Version 1,,269808704130540668888876268164591600555,,Pas d'arbre de décision,,,,
Hub'Eau - Prélèvements en eau,,155739706309284286331679152611791367190,,Pas d'arbre de décision,,,,
API Camino,,198327853377894289547276315415820586546,,Pas d'arbre de décision,,,,
API données ouvertes de l’Éducation Nationale,,107482228283864505269323114372132089423,,Pas d'arbre de décision,,,,
Webstat,,141954576104715397142619328183449164606,,Pas d'arbre de décision,,,,
"scanR, moteur de la recherche et de l'innovation",,327380685785190910692213055617179278570,,Pas d'arbre de décision,,,,
OpenFisca,,162041463959197376808832897554156523991,,Pas d'arbre de décision,,,,
Jours fériés,,33313039057115421314728504447637128202,,Pas d'arbre de décision,,,,
API Répertoire National des Métiers,,101169759320684447635876283153012236327,,Pas d'arbre de décision,,,,
API Quotient familial MSA & CAF | Bouquet API Particulier,,119219003377833747759842812850417740675,particulier,Non,"      Vous n’êtes pas autorisé à accéder aux données de cette API. L’usage de l’API Particulier est **uniquement reservé aux acteurs publics** : les administrations, les collectivités, leurs opérateurs, les acteurs de santé, les organismes ayant le statut spécifique _« chargé d'une mission ou délégataire de service public »_, etc.",,,
API Quotient familial MSA & CAF | Bouquet API Particulier,,119219003377833747759842812850417740675,collectivité ou administration,Oui,"      Que vous soyez une collectivité, une administration centrale, un organisme ayant le statut spécifique _« chargé d'une mission ou délégataire de service public »_, vous êtes éligible à l'utilisation de l'API Particulier.  

      **Si votre cadre légal le justifie**, l’API Particulier vous permet d’accéder directement aux données administratives des particuliers, dont leur quotient familial CAF ou MSA, pour faciliter leurs démarches.
      - Pour vérifier que votre besoin correspond aux utilisations justifiant l'API Particulier, consultez nos différents <External href=""https://particulier.api.gouv.fr/cas_usages"">cas d'usages</External> (Tarification cantine et transport, aides facultatives départementales et régionales, aides sociales des CCAS, gestion RH du secteur public ...)
      - Pour vérifier si nous distribuons les données dont vos démarches ont besoin, veuillez consulter le <External href=""https://particulier.api.gouv.fr/catalogue"">catalogue des API</External>.
",,,
API Quotient familial MSA & CAF | Bouquet API Particulier,,119219003377833747759842812850417740675,entreprise ou association,Non,"      Vous n’êtes pas autorisé à accéder aux données de cette API. L’usage de l’API Particulier est **uniquement reservé aux acteurs publics** : les administrations, les collectivités, leurs opérateurs, les acteurs de santé, les organismes ayant le statut spécifique _« chargé d'une mission ou délégataire de service public »_, etc.

      <Button href=""/rechercher-api"" alt>Rechercher une autre API</Button>

      Si vous êtes **éditeur de logiciels pour des acteurs publics, c'est à vos utilisateurs collectivité ou administration de faire une demande d'habilitation.**

      En revanche, vous pouvez nous demander de vous référencer sur un cas d'usage afin de proposer des formulaires pré-remplis et ainsi simplifier l'expérience de vos clients publics :

      <Button href=""https://form.typeform.com/to/OJ4rkf5Z"">Demander à être référencé</Button>",,,
API QuiForme,,22448549870160779810152556443088351213,particulier,Non,Vous n’êtes pas autorisé à accéder aux données de cette API.,,,
API QuiForme,,22448549870160779810152556443088351213,collectivité ou administration,Oui,"En tant qu'administration ou collectivité, vous êtes éligibles à cette API selon votre cadre juridique

Si vous avez besoin d'autres données concernant les entreprises et les associations, vous pouvez demander un accès au bouquet [API Entreprise](https://api.gouv.fr/les-api/api-entreprise) opérée par la DINUM. Cette API délivre d'autres données sur les entreprises et les associations

Si vous avez seulement besoin des données de l'API Quiforme, faîtes directement votre demande d'habilitation ici auprès de Carif-Oref :",,,
API QuiForme,,22448549870160779810152556443088351213,entreprise ou association,Non,"Vous n’êtes pas autorisé à accéder aux données de cette API.

Si vous êtes éditeur de logiciel, vous êtes éligible à intégrer cette API si vous le faîtes pour le compte d'une entité publique (administrations, collectivités, etc.) dont vous êtes le prestataire.",,,
API Professionnels RGE,,58651953459713582696931808564078502739,,Pas d'arbre de décision,,,,
Hub'Eau - Surveillance du littoral,,202608540509421730300622371234418330552,,Pas d'arbre de décision,,,,
Hub'Eau - Ecoulement des cours d'eau,,11326635725655934737054200292315825361,,Pas d'arbre de décision,,,,
Hub'Eau - Hydrobiologie,,158641285217172548509723813716859147726,,Pas d'arbre de décision,,,,
Hub'Eau - Qualité de l'eau potable,,294961732852796185089472196016486828512,,Pas d'arbre de décision,,,,
API Gallica Recherche,,5212042956053498724739723754515196205,,Pas d'arbre de décision,,,,
API Gallica Document,,105519820618147527139875893206793244693,,Pas d'arbre de décision,,,,
API Gallica IIIF,,27156467447634705587814687921069567446,,Pas d'arbre de décision,,,,
API DPE logements,,111483984121135045011381183528312223585,,Pas d'arbre de décision,,,,
API DPE bâtiments tertiaires,,121618006560829145386629021277088578813,,Pas d'arbre de décision,,,,
API Diffusion Données Locales,,90382184358307513041132302746587685209,,Pas d'arbre de décision,,,,
API catalogue des données ouvertes - data.gouv.fr,,301587056195886603715688349482507142150,,Pas d'arbre de décision,,,,
API Complémentaire santé solidaire | Bouquet API Particulier,,151603327786532306321441843338793683587,particulier,Non,"      Vous n’êtes pas autorisé à accéder aux données de cette API. L’usage de l’API Particulier est **uniquement reservé aux acteurs publics** : les administrations, les collectivités, leurs opérateurs, les acteurs de santé, les organismes ayant le statut spécifique _« chargé d'une mission ou délégataire de service public »_, etc.

      <Button href=""/rechercher-api"" alt>Rechercher une autre API</Button>",,,
API Complémentaire santé solidaire | Bouquet API Particulier,,151603327786532306321441843338793683587,collectivité ou administration,Oui,"      Que vous soyez une collectivité, une administration centrale, un organisme ayant le statut spécifique _« chargé d'une mission ou délégataire de service public »_, vous êtes éligible à l'utilisation de l'API Particulier.  

      **Si votre cadre légal le justifie**, l’API Particulier vous permet d’accéder directement aux données administratives des particuliers, dont leur statut bénéficiaire de la complémentaire santé solidaire, pour faciliter leurs démarches.
      - Pour vérifier que votre besoin correspond aux utilisations justifiant l'API Particulier, consultez nos différents <External href=""https://particulier.api.gouv.fr/cas_usages"">cas d'usages</External> (Tarification cantine et transport, aides facultatives départementales et régionales, aides sociales des CCAS, gestion RH du secteur public ...)
      - Pour vérifier si nous distribuons les données dont vos démarches ont besoin, veuillez consulter le <External href=""https://particulier.api.gouv.fr/catalogue"">catalogue des API</External>.

      <Button href='https://datapass.api.gouv.fr/api-particulier'>Demander une habilitation API Particulier</Button>",,,
API Complémentaire santé solidaire | Bouquet API Particulier,,151603327786532306321441843338793683587,entreprise ou association,Non,"      Vous n’êtes pas autorisé à accéder aux données de cette API. L’usage de l’API Particulier est **uniquement reservé aux acteurs publics** : les administrations, les collectivités, leurs opérateurs, les acteurs de santé, les organismes ayant le statut spécifique _« chargé d'une mission ou délégataire de service public »_, etc.

      <Button href=""/rechercher-api"" alt>Rechercher une autre API</Button>

      Si vous êtes **éditeur de logiciels pour des acteurs publics, c'est à vos utilisateurs collectivité ou administration de faire une demande d'habilitation.**

      En revanche, vous pouvez nous demander de vous référencer sur un cas d'usage afin de proposer des formulaires pré-remplis et ainsi simplifier l'expérience de vos clients publics :

      <Button href=""https://form.typeform.com/to/OJ4rkf5Z"">Demander à être référencé</Button>",,,
Le Point d’Accès National aux données de transport,,206822535899830719976737462237251055100,,Pas d'arbre de décision,,,,
API BDM,,191401212796293420735928332426431262757,,Pas d'arbre de décision,,,,
API Base Carbone,,110488821621900562554516190731544649574,,Pas d'arbre de décision,,,,
API Associations (RNA),,337985637111761929317383554794044102879,,Pas d'arbre de décision,,,,
API Aides financières à la rénovation énergetique (Simul’Aid€s),,286081436070344994173183241593020510186,,Pas d'arbre de décision,,,,
API Aides financieres de l’ADEME,,301186547224943510690387210433290008486,,Pas d'arbre de décision,,,,
API Impacts environnementaux - AGRIBALYSE®,,110990672395543791662405268155160808371,,Pas d'arbre de décision,,,,
API VigiEau,,109999183836518135293949937069910514794,,Pas d'arbre de décision,,,,
API Tiers de prestation,,251705109416485457521542082775527993286,particulier,Non,"Vous n’êtes pas autorisé à accéder aux données de cette API. Pour accéder à l’API Tiers de prestation, vous devez être un organisme de service à la personne au sens de l’article de l'article L. 7232-6 du code du travail.",,,
API Tiers de prestation,,251705109416485457521542082775527993286,collectivité ou administration,Non,"Vous n’êtes pas autorisé à accéder aux données de cette API. Pour accéder à l’API Tiers de prestation, vous devez être un organisme de service à la personne au sens de l’article de l'article L. 7232-6 du code du travail.",,,
API Tiers de prestation,,251705109416485457521542082775527993286,entreprise ou association,Peut-être,"Pour accéder à l’API Tiers de prestation, vous devez être un organisme de service à la personne au sens de l’article de l'article L. 7232-6 du code du travail.

Si vous êtes prestataire de services à la personne, vous pouvez remplir une demande d’habilitation à l’API.

Si vous êtes mandataire de services à la personne en tant que mandataire complet, vous pouvez remplir une demande d’habilitation à l’API.
Le mode mandataire complet implique que le particulier vous confie, contre rémunération, un certain nombre de tâches par contrat de mandat : recherche de candidatures, recrutement et embauche, calcul et établissement des bulletins de paie etc. et l’émission de votre part d’une facture à régler par le particulier.
Le particulier est alors l’employeur de l’intervenant qui intervient à son domicile et vous procédez pour le compte du particulier au versement des cotisations et contributions sociales dues au titre de l'emploi du salarié concerné auprès de la branche recouvrement.",,,
API Terminologies de Santé (SMT),,25540986599693587840164551393952167633,,Pas d'arbre de décision,,,,
API Statut étudiant | Bouquet API Particulier,,72300251457462512933339454898517499633,particulier,Non,"      Vous n’êtes pas autorisé à accéder aux données de cette API. L’usage de l’API Particulier est **uniquement reservé aux acteurs publics** : les administrations, les collectivités, leurs opérateurs, les acteurs de santé, les organismes ayant le statut spécifique _« chargé d'une mission ou délégataire de service public »_, etc.

      <Button href=""/rechercher-api"" alt>Rechercher une autre API</Button>",,,
API Statut étudiant | Bouquet API Particulier,,72300251457462512933339454898517499633,collectivité ou administration,Oui,"      Que vous soyez une collectivité, une administration centrale, un organisme ayant le statut spécifique _« chargé d'une mission ou délégataire de service public »_, vous êtes éligible à l'utilisation de l'API Particulier.  

      **Si votre cadre légal le justifie**, l’API Particulier vous permet d’accéder directement aux données administratives des particuliers, dont leur statut étudiant, pour faciliter leurs démarches.
      - Pour vérifier que votre besoin correspond aux utilisations justifiant l'API Particulier, consultez nos différents <External href=""https://particulier.api.gouv.fr/cas_usages"">cas d'usages</External> (Tarification cantine et transport, aides facultatives départementales et régionales, aides sociales des CCAS, gestion RH du secteur public ...)
      - Pour vérifier si nous distribuons les données dont vos démarches ont besoin, veuillez consulter le <External href=""https://particulier.api.gouv.fr/catalogue"">catalogue des API</External>.

      <Button href='https://datapass.api.gouv.fr/api-particulier'>Demander une habilitation API Particulier</Button>",,,
API Statut étudiant | Bouquet API Particulier,,72300251457462512933339454898517499633,entreprise ou association,Non,"      Vous n’êtes pas autorisé à accéder aux données de cette API. L’usage de l’API Particulier est **uniquement reservé aux acteurs publics** : les administrations, les collectivités, leurs opérateurs, les acteurs de santé, les organismes ayant le statut spécifique _« chargé d'une mission ou délégataire de service public »_, etc.

      <Button href=""/rechercher-api"" alt>Rechercher une autre API</Button>

      Si vous êtes **éditeur de logiciels pour des acteurs publics, c'est à vos utilisateurs collectivité ou administration de faire une demande d'habilitation.**

      En revanche, vous pouvez nous demander de vous référencer sur un cas d'usage afin de proposer des formulaires pré-remplis et ainsi simplifier l'expérience de vos clients publics :

      <Button href=""https://form.typeform.com/to/OJ4rkf5Z"">Demander à être référencé</Button>",,,
API Statut étudiant boursier | Bouquet API Particulier,,82537611158777941523307318977283363308,particulier,Non,"      Vous n’êtes pas autorisé à accéder aux données de cette API. L’usage de l’API Particulier est **uniquement reservé aux acteurs publics** : les administrations, les collectivités, leurs opérateurs, les acteurs de santé, les organismes ayant le statut spécifique _« chargé d'une mission ou délégataire de service public »_, etc.

      <Button href=""/rechercher-api"" alt>Rechercher une autre API</Button>",,,
API Statut étudiant boursier | Bouquet API Particulier,,82537611158777941523307318977283363308,collectivité ou administration,Oui,"      Que vous soyez une collectivité, une administration centrale, un organisme ayant le statut spécifique _« chargé d'une mission ou délégataire de service public »_, vous êtes éligible à l'utilisation de l'API Particulier.  

      **Si votre cadre légal le justifie**, l’API Particulier vous permet d’accéder directement aux données administratives des particuliers, dont leur statut étudiant boursier, pour faciliter leurs démarches.
      - Pour vérifier que votre besoin correspond aux utilisations justifiant l'API Particulier, consultez nos différents <External href=""https://particulier.api.gouv.fr/cas_usages"">cas d'usages</External> (Tarification cantine et transport, aides facultatives départementales et régionales, aides sociales des CCAS, gestion RH du secteur public ...)
      - Pour vérifier si nous distribuons les données dont vos démarches ont besoin, veuillez consulter le <External href=""https://particulier.api.gouv.fr/catalogue"">catalogue des API</External>.

      <Button href='https://datapass.api.gouv.fr/api-particulier'>Demander une habilitation API Particulier</Button>",,,
API Statut étudiant boursier | Bouquet API Particulier,,82537611158777941523307318977283363308,entreprise ou association,Non,"      Vous n’êtes pas autorisé à accéder aux données de cette API. L’usage de l’API Particulier est **uniquement reservé aux acteurs publics** : les administrations, les collectivités, leurs opérateurs, les acteurs de santé, les organismes ayant le statut spécifique _« chargé d'une mission ou délégataire de service public »_, etc.

      <Button href=""/rechercher-api"" alt>Rechercher une autre API</Button>

      Si vous êtes **éditeur de logiciels pour des acteurs publics, c'est à vos utilisateurs collectivité ou administration de faire une demande d'habilitation.**

      En revanche, vous pouvez nous demander de vous référencer sur un cas d'usage afin de proposer des formulaires pré-remplis et ainsi simplifier l'expérience de vos clients publics :

      <Button href=""https://form.typeform.com/to/OJ4rkf5Z"">Demander à être référencé</Button>",,,
API Sesali,,192539970846303963985946039453430517257,particulier,Non,Vous n’êtes pas autorisé à accéder aux données de cette API. Seuls les les éditeurs de logiciels raccordés à Pro Santé Connect sont habilitées à utiliser l'API Sesali.,,,
API Sesali,,192539970846303963985946039453430517257,collectivité ou administration,Non,Vous n’êtes pas autorisé à accéder aux données de cette API. Seuls les les éditeurs de logiciels raccordés à Pro Santé Connect sont habilitées à utiliser l'API Sesali.,,,
API Sesali,,192539970846303963985946039453430517257,entreprise ou association,Peut-être,Seuls les les éditeurs de logiciels raccordés à Pro Santé Connect sont habilitées à utiliser l'API Sesali.,,,
API Services Publics Plus - Structures,,180270916952243615256948747030825561355,,Pas d'arbre de décision,,,,
API Resultats de qualité des services publics,,328437262261070233932240404588951956207,,Pas d'arbre de décision,,,,
API Services Publics Plus - Expériences,,80662891490730337171114899707375100777,,Pas d'arbre de décision,,,,
API Registre des Bénéficiaires Effectifs (RBE),,259674753163560715494673979212422074939,particulier,Non,"Vous n’êtes pas autorisé à accéder aux données de cette API. Les particuliers ne sont pas éligibles a cette API.

Les personnes éligibles au services sont définies dans les articles L561-2 à L561-4  du Code monétaire et financier concernant les personnes assujetties aux obligations de lutte contre le blanchiment des capitaux et le financement du terrorisme.",,,
API Registre des Bénéficiaires Effectifs (RBE),,259674753163560715494673979212422074939,collectivité ou administration,Peut-être,"Les personnes éligibles au services sont définies dans les articles L561-2 à L561-4  du Code monétaire et financier concernant les personnes assujetties aux obligations de lutte contre le blanchiment des capitaux et le financement du terrorisme.

Si vous faites parties des personnes éligibles, vous pouvez remplir une demande en téléchargeant et complétant le [formulaire de demande d'habilitation](https://api.gouv.fr/resources/formulaire_rbe.pdf) . Une fois le formulaire complété, soumettez votre demande d'habilitation à l'API",,,Attention c'est une adresse mail
API Registre des Bénéficiaires Effectifs (RBE),,259674753163560715494673979212422074939,entreprise ou association,Peut-être,"Les personnes éligibles au services sont définies dans les <External href=""https://www.legifrance.gouv.fr/codes/id/LEGIARTI000041577735/2020-02-14/"">articles L561-2 à L561-4</External> du *Code monétaire et financier* concernant les personnes assujetties aux obligations de lutte contre le blanchiment des capitaux et le financement du terrorisme.

      **Si vous faites parties des administrations éligibles, deux API, distribuant les mêmes données, sont à votre disposition :** 
      - **L'API RBE opérée par l'Inpi**. Pour y accéder, vous pouvez devez d'abord remplir une demande en téléchargeant et en complétant <External href='/resources/formulaire_rbe.pdf'>le formulaire suivant</External>.
      Une fois le formulaire complété, soumettez votre demande d'habilitation à l'API à <a href=""mailto:rbe@inpi.fr"">rbe@inpi.fr</a>
      - **L'<a href=""https://entreprise.api.gouv.fr/catalogue/inpi/rne/beneficiaires_effectifs"">API RBE opérée par API Entreprise</a>**. Le bouquet API Entreprise permet aux administrations d'accéder à de nombreuses données entreprises et associations, dont les bénéficiaires effectifs. _La demande d'accès se fait directement en ligne avec <a href=""https://datapass.api.gouv.fr/api-entreprise"">Datapass</a>_. ",,,
API Professionnels BIO,,320125529545557048162969210045503867759,,Pas d'arbre de décision,,,,
API Pro Santé Connect,api-pro-sante-connect,29131682705900922526092350587154543845,particulier,Non,"Vous n’êtes pas autorisé à accéder aux données de cette API. Les particuliers ne sont pas éligibles a cette API.
Seules les administrations et les éditeurs de logiciels sont habilitées à utiliser l'API Pro Santé Connect ou intégrer le bouton Pro Santé Connect.",,,
API Pro Santé Connect,api-pro-sante-connect,29131682705900922526092350587154543845,collectivité ou administration,Oui,,,,
API Pro Santé Connect,api-pro-sante-connect,29131682705900922526092350587154543845,entreprise ou association,Peut-être,Seuls les éditeurs de logiciels français proposant une solution web adressée aux professionnels de santé peuvent demander à se raccorder à Pro Santé Connect.,,,
API données ouvertes de l’Urssaf,,252195082857323556978763095101129236483,,Pas d'arbre de décision,,,,
API données ouvertes de l'ONISEP,,123246505443552681072664520081504116397,,Pas d'arbre de décision,,,,
API Mon entreprise,,29974271862273873072966845572201762381,,Pas d'arbre de décision,,,,
API Marché de l'inclusion,,23673438300196919861893092334310996701,,Pas d'arbre de décision,,,,
API données ouvertes de Loire-Atlantique,,53167779126670939704989905808043460704,,Pas d'arbre de décision,,,,
API Alternance,,223958726998563275632289574060661537759,,Pas d'arbre de décision,,,,
API Judilibre,,44463413058191736031924434353519340123,,Pas d'arbre de décision,,,,
API info-financière,,191317550132851670047370464581713638500,,Pas d'arbre de décision,,,,
